bancarizado,codigodepartamentoatencion,codigomunicipioatencion,discapacidad,estadobeneficiario,etnia,fechainscripcionbeneficiario,genero,nivelescolaridad,nombredepartamentoatencion,nombremunicipioatencion,pais,tipoasignacionbeneficio,tipobeneficio,tipodocumento,tipopoblacion,rangobeneficioconsolidadoasignado,rangoultimobeneficioasignado,fechaultimobeneficioasignado,rangoedad,titular,cantidaddebeneficiarios
NO,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,TRANSICION,BOYACA,PUERTO BOYACA,ND,ND,TRANSICIÓNNUTRICIÓN MENOR,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,26
NO,15,15572,NO,NO ACTIVO,AFROCOLOMBIANO – NEGRO,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,SISBEN,0 - 1.500.000,0 - 1.300.000,2015-01-01,50-65,NO,1
NO,15,15572,NO,NO ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,ND,EDUCACIÓN SECUNDARIA,CC,ND,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,2
NO,15,15572,NO,ACTIVO,ND,2012-11-01,Mujer,PRIMARIA,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN PRIMARIA,TI,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,3
NO,15,15572,NO,ACTIVO,ND,2015-05-01,Hombre,PRIMARIA,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN PRIMARIA,TI,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
NO,15,15572,NO,ACTIVO,ND,2012-11-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,DESPLAZADOS,3.000.001 - 4.500.000,0 - 1.300.000,2018-01-01,30-49,SI,1
SI,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,SISBEN,> 6.000.001,0 - 1.300.000,2018-01-01,30-49,SI,1
SI,15,15572,NO,ACTIVO,ND,2013-11-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,NUTRICIÓN,CC,DESPLAZADOS,4.500.001 - 6.000.000,0 - 1.300.000,2018-01-01,30-49,SI,1
NO,15,15572,NO,ACTIVO,ND,2017-01-01,Mujer,PRIMARIA,BOYACA,PUERTO BOYACA,ND,ND,EDUCACIÓN PRIMARIA,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
SI,15,15572,NO,ACTIVO,ND,2013-06-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,DESPLAZADOS,4.500.001 - 6.000.000,0 - 1.300.000,2018-01-01,30-49,SI,1
SI,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,MONETARIO,ND,CC,DESPLAZADOS,1.500.001 - 3.000.000,0 - 1.300.000,2018-01-01,30-49,SI,1
NO,15,15572,NO,ACTIVO,AFROCOLOMBIANO – NEGRO,2012-12-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,CC,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,8
NO,15,15572,NO,ACTIVO,ND,2015-06-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,NUTRICIÓN MENOR,RC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
